iso3,nombre,region_geografica
CHL,Chile,AMÉRICA  DEL  SUR
CAN,Canadá,AMÉRICA  DEL  NORTE
ZAF,Sudáfrica,ÁFRICA  SUBSAHARIANA
ITA,Italia,EUROPA  OCCIDENTAL
AGO,Angola,ÁFRICA  SUBSAHARIANA
RUS,Rusia,EUROPA  CENTRAL  Y  ORIENTAL
GRC,Grecia,EUROPA  OCCIDENTAL
NIC,Nicaragua,AMÉRICA  CENTRAL  Y  CARIBE
QAT,Qatar,ASIA
VNM,Vietnam,ASIA
HTI,Haití,AMÉRICA  CENTRAL  Y  CARIBE
IRN,Irán,ASIA
BRA,Brasil,AMÉRICA  DEL  SUR
ESP,España,EUROPA  OCCIDENTAL
TUR,Turquía,EUROPA  OCCIDENTAL
IND,India,ASIA
AUS,Australia,OCEANÍA
BGR,Bulgaria,EUROPA  CENTRAL  Y  ORIENTAL
GTM,Guatemala,AMÉRICA  CENTRAL  Y  CARIBE
LBY,Libia,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
SUR,Surinám,AMÉRICA  DEL  SUR
THA,Tailandia,ASIA
UKR,Ucrania,EUROPA  CENTRAL  Y  ORIENTAL
POL,Polonia,EUROPA  CENTRAL  Y  ORIENTAL
BGD,Bangladesh,ASIA
BRB,Barbados,AMÉRICA  CENTRAL  Y  CARIBE
FRA,Francia,EUROPA  OCCIDENTAL
NLD,Países Bajos,EUROPA  OCCIDENTAL
PAN,Panamá,AMÉRICA  CENTRAL  Y  CARIBE
PRT,Portugal,EUROPA  OCCIDENTAL
JPN,Japón,ASIA
CHN,China,ASIA
URY,Uruguay,AMÉRICA  DEL  SUR
SAU,Arabia Saudita,ASIA
AZE,Azerbaiyán,ASIA
CZE,República Checa,EUROPA  CENTRAL  Y  ORIENTAL
GUY,Guyana,AMÉRICA  CENTRAL  Y  CARIBE
KEN,Kenia,ÁFRICA  SUBSAHARIANA
LCA,Santa Lucía,AMÉRICA  CENTRAL  Y  CARIBE
NGA,Nigeria,ÁFRICA  SUBSAHARIANA
VAT,Ciudad del Vaticano,EUROPA  OCCIDENTAL
PRY,Paraguay,AMÉRICA  DEL  SUR
USA,Estados Unidos de América,AMÉRICA  DEL  NORTE
BEL,Bélgica,EUROPA  OCCIDENTAL
DNK,Dinamarca,EUROPA  OCCIDENTAL
DOM,República Dominicana,AMÉRICA  CENTRAL  Y  CARIBE
PHL,Filipinas,ASIA
IRL,Irlanda,EUROPA  OCCIDENTAL
IDN,Indonesia,ASIA
MOZ,Mozambique,ÁFRICA  SUBSAHARIANA
NZL,Nueva Zelanda,OCEANÍA
SWE,Suecia,EUROPA  OCCIDENTAL
AUT,Austria,EUROPA  OCCIDENTAL
BOL,Bolivia,AMÉRICA  DEL  SUR
ECU,Ecuador,AMÉRICA  DEL  SUR
HND,Honduras,AMÉRICA  CENTRAL  Y  CARIBE
CRI,Costa Rica,AMÉRICA  CENTRAL  Y  CARIBE
ARG,Argentina,AMÉRICA  DEL  SUR
SYR,Siria,ASIA
COL,Colombia,AMÉRICA  DEL  SUR
CUB,Cuba,AMÉRICA  CENTRAL  Y  CARIBE
MAR,Marruecos,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
NOR,Noruega,EUROPA  OCCIDENTAL
PAK,Pakistán,ASIA
SGP,Singapur,ASIA
TTO,Trinidad y Tobago,AMÉRICA  CENTRAL  Y  CARIBE
TUN,Tunez,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
DEU,Alemania,EUROPA  OCCIDENTAL
MYS,Malasia,ASIA
ISR,Israel,ASIA
KOR,Corea del Sur,ASIA
ARE,Emiratos Árabes Unidos,ASIA
EGY,Egipto,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ETH,Etiopía,ÁFRICA  SUBSAHARIANA
JAM,Jamaica,AMÉRICA  CENTRAL  Y  CARIBE
KWT,Kuwait,ASIA
ROU,Rumanía,EUROPA  CENTRAL  Y  ORIENTAL
HUN,Hungría,EUROPA  CENTRAL  Y  ORIENTAL
VEN,Venezuela,AMÉRICA  DEL  SUR
SLV,El Salvador,AMÉRICA  CENTRAL  Y  CARIBE
PER,Perú,AMÉRICA  DEL  SUR
DZA,Argelia,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE
ARM,Armenia,ASIA
FIN,Finlandia,EUROPA  OCCIDENTAL
LBN,Líbano,ASIA
SEN,Senegal,ÁFRICA  SUBSAHARIANA
PSE,Palestina,ASIA
MEX,México,AMÉRICA  DEL  NORTE
CHE,Suiza,EUROPA  OCCIDENTAL
SRB,Serbia,EUROPA  CENTRAL  Y  ORIENTAL
,,EUROPA  OCCIDENTAL
