sede_id,n_secciones,iso3_sede
EISIA,5,IDN
EFRUS,13,RUS
EALEM,10,DEU
ECOLO,7,COL
ETUNE,7,TUN
ECEUR,6,BEL
CPCAR,1,MEX
EVENE,5,VEN
EARGE,6,DZA
EJAMA,3,JAM
CVIGO,3,ESP
ERICA,2,CRI
ELBIA,2,LBY
ENICA,1,NIC
CCOLO,0,URY
EARAB,0,SAU
CBEIJ,0,CHN
CFDIG,0,BRA
CSLTO,0,URY
EBANG,0,BGD
EUNES,0,FRA
EBULG,0,BGR
CANTO,0,CHL
CCEST,0,PRY
EJAPO,6,JPN
EPNMA,4,PAN
ENIGE,6,NGA
EPBAJ,4,NLD
EMARR,5,MAR
EHOND,4,HND
CRECI,5,BRA
EVIET,4,VNM
ERUMA,2,ROU
CFRAN,4,DEU
CYACU,0,BOL
CTENE,0,ESP
CSIGO,0,CHL
CROMA,0,ITA
CPAYS,0,URY
CJOHA,0,ZAF
CASUN,0,PRY
EPARA,0,PRY
CPMON,0,CHL
ECHES,5,CZE
EECUA,8,ECU
ETURQ,4,TUR
CGUAY,2,ECU
ESURI,6,SUR
EITAL,10,ITA
EQATR,5,QAT
EDOMI,3,DOM
ECUBA,5,CUB
EPOLO,3,POL
ENORU,3,NOR
ENZEL,3,NZL
EMSUR,0,URY
CCADI,0,ESP
EGUYA,0,GUY
CVALP,0,CHL
EEOEA,0,USA
CCURI,0,BRA
CATLA,0,USA
EPORT,5,PRT
EEEUU,11,USA
ECHIN,8,CHN
EISRA,3,ISR
ESAFR,4,ZAF
EEGIP,6,EGY
CMIAM,8,USA
ECANA,4,CAN
EFINL,2,FIN
ECORE,5,KOR
EPAKI,2,PAK
EIRAN,1,IRN
EUCRA,4,UKR
EFILI,4,PHL
CRIOJ,4,BRA
CMDEO,0,URY
CVILL,0,BOL
CMALL,0,ESP
CFLOR,0,BRA
CTARI,0,BOL
CGUAN,0,CHN
CGVAN,0,CAN
OCCAT,0,CHN
CSBAH,0,BRA
CBELO,0,BRA
CLIMA,0,PER
ERUNI,12,GRB
EKENY,6,KEN
EMEXI,9,MEX
ETRIA,11,AUT
ESUIZ,5,CHE
EBARB,7,BRB
EETIO,4,ETH
EOIRS,0,CHE
CFBEN,0,URY
CMREA,0,CAN
REPAL,0,PSE
EHAIT,7,HTI
EGUAT,3,GTM
ETAIL,6,THA
EBRAS,7,BRA
EHILE,14,CHL
CHONG,2,CHN
EINDI,4,IND
EARME,3,ARM
EANGO,6,AGO
EAUST,5,AUS
CMILA,3,ITA
CGMUM,3,IND
EEARB,3,ARE
EMSIA,3,MYS
CSHAN,7,CHN
CPABL,1,BRA
EBELG,5,BEL
EURUG,4,URY
CURUG,1,BRA
CHAMB,0,DEU
CLANG,0,USA
CALEG,0,BRA
CGEST,0,TUR
DIGAC,0,ARG
CAREN,0,CHL
CNYOR,9,USA
ESALV,5,SLV
EBOLV,12,BOL
EUNGR,5,HUN
EMOZA,8,MOZ
EESPA,7,ESP
ESING,4,SGP
CGTEL,2,ISR
EGREC,4,GRC
CSIDN,3,AUS
ESERB,4,SRB
EIRLA,4,IRL
ESUEC,4,SWE
CTORO,3,CAN
ESSED,6,VAT
CMADR,0,ESP
ENAUN,0,USA
CBONN,0,DEU
CGPAZ,0,BOL
CHOUS,0,USA
ELUCI,0,LCA
EMFAO,0,ITA
EPERU,7,PER
EKUWA,5,KWT
EFRAN,9,FRA
ETRIN,1,TTO
CBARC,6,ESP
CSCRS,4,BOL
EDINA,4,DNK
ELBNO,5,LBN
EASIR,1,SYR
CCHIC,2,USA
EAZER,5,AZE
CLOND,0,GRB
CCOCH,0,BOL
CMALD,0,URY
CENCA,0,PRY
CMEXI,0,MEX
ESENE,0,SEN
